Challenge,Frame,Source,Observed,Blocked,TargetEnvelope
clean,1,100,100,0,0
clean,2,100,100,0,0
clean,3,100,100,0,0
clean,4,100,100,0,0
clean,5,100,100,0,0
clean,6,100,100,0,0
clean,7,100,100,0,0
clean,8,100,100,0,0
clean,9,100,100,0,0
clean,10,100,100,0,0
clean,11,100,100,0,0
clean,12,100,100,0,0
clean,13,100,100,0,0
clean,14,100,100,0,0
clean,15,100,100,0,0
clean,16,100,100,0,0
clean,17,100,100,0,0
clean,18,100,100,0,0
clean,19,100,100,0,0
clean,20,100,100,0,0
clean,21,100,100,0,0
clean,22,100,100,0,0
clean,23,100,100,0,0
clean,24,100,100,0,0
clean,25,100,100,0,0
clean,26,100,100,0,0
clean,27,100,100,0,0
clean,28,100,100,0,0
clean,29,100,100,0,0
clean,30,100,100,0,0
clean,31,100,100,0,0
clean,32,100,100,0,0
clean,33,100,100,0,0
clean,34,100,100,0,0
clean,35,100,100,0,0
clean,36,100,100,0,0
clean,37,100,100,0,0
clean,38,100,100,0,0
clean,39,100,100,0,0
clean,40,100,100,0,0
clean,41,100,100,0,0
clean,42,100,100,0,0
clean,43,100,100,0,0
clean,44,100,100,0,0
clean,45,100,100,0,0
clean,46,100,100,0,0
clean,47,100,100,0,0
clean,48,100,100,0,0
clean,49,100,100,0,0
clean,50,100,100,0,0
clean,51,100,100,0,0
clean,52,100,100,0,0
clean,53,100,100,0,0
clean,54,100,100,0,0
clean,55,100,100,0,0
clean,56,100,100,0,0
clean,57,100,100,0,0
clean,58,100,100,0,0
clean,59,100,100,0,0
clean,60,100,100,0,0
clean,61,100,100,0,0
clean,62,100,100,0,0
clean,63,100,100,0,0
clean,64,100,100,0,0
clean,65,100,100,0,0
clean,66,100,100,0,0
clean,67,100,100,0,0
clean,68,100,100,0,0
clean,69,100,100,0,0
clean,70,100,100,0,0
clean,71,100,100,0,0
clean,72,100,100,0,0
clean,73,100,100,0,0
clean,74,100,100,0,0
clean,75,100,101.818181818182,0,0.0909090909090909
clean,76,100,103.636363636364,0,0.181818181818182
clean,77,100,105.454545454545,0,0.272727272727273
clean,78,100,107.272727272727,0,0.363636363636364
clean,79,100,109.090909090909,0,0.454545454545455
clean,80,100,110.909090909091,0,0.545454545454545
clean,81,100,112.727272727273,0,0.636363636363636
clean,82,100,114.545454545455,0,0.727272727272727
clean,83,100,116.363636363636,0,0.818181818181818
clean,84,100,118.181818181818,0,0.909090909090909
clean,85,100,120,0,1
clean,86,100,119.230769230769,0,0.961538461538462
clean,87,100,118.461538461538,0,0.923076923076923
clean,88,100,117.692307692308,0,0.884615384615385
clean,89,100,116.923076923077,0,0.846153846153846
clean,90,100,116.153846153846,0,0.807692307692308
clean,91,100,115.384615384615,0,0.769230769230769
clean,92,100,114.615384615385,0,0.730769230769231
clean,93,100,113.846153846154,0,0.692307692307692
clean,94,100,113.076923076923,0,0.653846153846154
clean,95,100,112.307692307692,0,0.615384615384615
clean,96,100,111.538461538462,0,0.576923076923077
clean,97,100,110.769230769231,0,0.538461538461538
clean,98,100,110,0,0.5
clean,99,100,109.230769230769,0,0.461538461538462
clean,100,100,108.461538461538,0,0.423076923076923
clean,101,100,107.692307692308,0,0.384615384615385
clean,102,100,106.923076923077,0,0.346153846153846
clean,103,100,106.153846153846,0,0.307692307692308
clean,104,100,105.384615384615,0,0.269230769230769
clean,105,100,104.615384615385,0,0.230769230769231
clean,106,100,103.846153846154,0,0.192307692307692
clean,107,100,103.076923076923,0,0.153846153846154
clean,108,100,102.307692307692,0,0.115384615384615
clean,109,100,101.538461538462,0,0.0769230769230769
clean,110,100,100.769230769231,0,0.0384615384615385
clean,111,100,100,0,0
clean,112,100,100,0,0
clean,113,100,100,0,0
clean,114,100,100,0,0
clean,115,100,100,0,0
clean,116,100,100,0,0
clean,117,100,100,0,0
clean,118,100,100,0,0
clean,119,100,100,0,0
clean,120,100,100,0,0
clean,121,100,100,0,0
clean,122,100,100,0,0
clean,123,100,100,0,0
clean,124,100,100,0,0
clean,125,100,100,0,0
clean,126,100,100,0,0
clean,127,100,100,0,0
clean,128,100,100,0,0
clean,129,100,100,0,0
clean,130,100,100,0,0
clean,131,100,100,0,0
clean,132,100,100,0,0
clean,133,100,100,0,0
clean,134,100,100,0,0
clean,135,100,100,0,0
clean,136,100,100,0,0
clean,137,100,100,0,0
